,Unnamed: 0,eventId,title,sentiment,description,authorId,timestamp
0,0,00001E11260,Storms Impact UK,-70,"Storm Jocelyn and Storm Isha cause havoc in Scotland and other parts of the UK, leading to significant travel disruption, power outages, and tragic fatalities. Thousands of homes and businesses remain without power as ESB Networks struggle to restore services. Amber and yellow weather warnings are in place, impacting transportation and energy sectors.",4,3/24/2024
1,1,00001E11251,Yunnan Landslide,-70,"Landslide in Liangshui village, Yunnan province buried dozens, killed at least 31, and left several missing. Hundreds evacuated, with ongoing rescue operations amid freezing temperatures. Impact on Yunnan province is severe with a negative sentiment of -70.",6,3/24/2024
3,3,00001E11261,Sony-Zee Merger Termination,-70,Sony terminated the 10 billion merger with Zee Entertainment due to unmet conditions and disagreements over leadership. Zee initiated legal action against Sony and requested an extension for the merger deadline. The National Company Law Tribunal is involved in the dispute.,1,3/24/2024
4,4,00001E11252,Xinjiang Earthquake,-70,"A magnitude 7.1 earthquake struck the Kyrgyzstan Xinjiang border region on Tuesday, leading to the collapse of homes and killing at least three people and injuring several. The earthquake caused significant damage to buildings and infrastructure in the affected areas. Tremors were felt in neighboring countries, and rescue efforts were initiated to assist the affected population. The U.S. Geological Survey reported the quake in the Tian Shan mountain range, a seismically active region. The event resulted in a negative market sentiment of -70 for China.",5,3/24/2024
5,5,00001E11259,Global Stock Markets Mixed,50,"Global stock markets treaded water as investors awaited corporate earnings reports. Dow Jones slipped while Hong Kong led a rally in Asia on reports of Chinese officials preparing new measures. European markets were mixed. Some companies like Procter Gamble and Verizon Communications advanced, while 3M Co and Johnson Johnson weighed on the equities benchmark. Netflix Inc announced a deal with World Wrestling Entertainment. U.S. stock market maintained a defensive posture with some companies beating earnings expectations. Netflix and ASML stocks rose after strong earnings. General Dynamics reported a jump in revenue. Electric car maker reported doubled net income. Santos saw a rise in production. Asian markets rose with Hong Kong leading. Alibaba's co-founders bought stakes in the firm. S&P 500 hit record highs on optimism over the US economic outlook.",3,3/24/2024
6,6,00001E11266,Israeli Soldiers Gaza Conflict,-80,"Twenty one Israeli reserve soldiers died in a single incident on January 22 in Gaza when two buildings exploded and collapsed on soldiers operating inside after Hamas fired at a nearby tank. The event marked the deadliest attack on Israeli soldiers since the war began, leading to a total of 24 soldiers killed that day. Israeli forces also stormed hospitals in southern Gaza, escalating tensions in the conflict. EU officials called for resolving the Israeli-Palestinian conflict, while relatives of hostages held in Gaza protested in the Israeli parliament. The high casualties in Gaza and the siege on hospitals have impacted the military and healthcare industries.",5,3/24/2024
7,7,00001E11258,Netflix Financial Update,80,"Netflix reports a blockbuster quarter with surging subscribers and strong profit margins. Shares soar after financial update. Netflix retires ad-free Basic plan in some countries, sees strong growth in advertising level subscribers, and adds 13.2 million paid members worldwide. Stock jumps after Q&A conference call. Q4 earnings exceed expectations. Netflix phases out Basic plan for subscribers, gains more paid users with crackdown on password sharing. Jason Bazinet maintains Hold rating with cautious outlook. Registers third consecutive quarter of accelerating subscriber growth. Sets new record with 260.8 million paid subscribers.",6,3/24/2024
8,8,00001E11254,Dividend Increase,70,"First Trust Mortgage Income Fund increased its dividend payout, ORG Partners LLC trimmed its stake in Invesco S P 500 High Dividend Low Volatility ETF, Castle Wealth Management LLC cut its stake in First Trust SMID Cap Rising Dividend Archievers ETF, JFS Wealth Advisors LLC decreased its holdings in First Trust Morningstar Dividend Leaders Index, First Trust Low Duration Opportunities ETF announced a monthly dividend, Hamel Associates Inc acquired a new position in Schwab International Dividend Equity ETF, US Bancorp DE boosted its stake in Vanguard Small Cap ETF, Shares of First Trust Value Line Dividend Index Fund rose during trading, Simplex Trading LLC bought a new position in Schwab US Dividend Equity ETF, Halliburton had its target price raised by equities researchers, Main Street Financial Solutions LLC grew its position in Vanguard Dividend Appreciation ETF, R W Roge Company Inc trimmed its position in Schwab US Dividend Equity ETF, Vanguard Dividend Appreciation ETF comprises approximately 0.7 of Private Advisor Group LLC's portfolio",4,3/24/2024
9,9,00001E11280,Form 4 Amendment,50,Correction of transaction reporting by the Reporting Person in Form 4 filed with the United States SECURITIES AND EXCHANGE COMMISSION. Sale of shares to satisfy tax obligations and dividend distribution to shareholders. Impact on Reporting Person's ownership and tax obligations.,6,3/24/2024
10,10,00001E11264,Gaza Conflict,-80,"Palestinian militants carried out the deadliest attack on Israeli forces in Gaza, resulting in the death of 21 soldiers. Israel vows to crush Hamas and free hostages, leading to a significant setback with casualties. Israeli forces encircled Khan Younis after an explosives incident in central Gaza. The event has a negative impact on market sentiment.",5,3/24/2024
